id,reference,label,strain,media,temperature,cell_count,end_lost,omit_count,end_single,end_small_bud,end_large_bud,end_cluster,lifespans,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,endCode,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,"","BY","ST2664","YPD",30,20,0,0,13,3,2,2,16,41,43,19,25,35,40,40,21,26,48,51,21,13,26,35,37,6,26,25,L,U,U,U,C,L,U,S,S,U,U,U,S,U,U,U,U,U,C,U,
2,"","BY","ST2664","YPD",30,20,0,0,13,3,2,2,41,42,30,26,42,30,34,34,43,42,33,47,35,18,32,29,38,40,18,34,U,U,C,C,U,U,L,U,S,U,L,U,U,U,S,S,U,U,U,U,
3,"1, 2","BY sml1KO","ST2665","YPD",30,20,0,0,9,5,2,4,20,22,28,29,33,42,30,24,33,31,20,32,30,17,41,44,29,32,41,29,C,U,C,S,U,S,U,L,S,U,C,U,L,S,U,U,C,U,S,U,
4,"1, 2","BY sml1KO","ST2665","YPD",30,20,0,0,13,5,1,1,34,52,33,52,17,37,41,42,37,34,47,34,37,31,24,22,65,44,36,22,S,U,U,U,U,U,U,U,U,S,U,L,U,C,U,S,U,S,U,S,
5,"1, 2","BY sml1KO mec1KO","ST2666","YPD",30,20,0,0,11,6,2,1,12,5,7,23,38,7,39,7,17,11,5,6,7,7,27,29,2,4,28,18,S,L,U,U,U,L,U,C,S,U,U,S,U,S,U,U,U,S,U,S,
6,"1, 2","BY sml1KO mec1KO","ST2666","YPD",30,20,0,0,9,7,1,3,12,12,11,15,2,1,23,8,13,21,3,35,20,3,14,3,15,8,5,26,L,S,C,S,S,S,C,U,S,U,S,U,U,U,U,C,S,U,U,U,
7,"1, 2","BY RM rDNA (backcross #10)","ST2667","YPD",30,20,0,0,18,2,0,0,48,49,46,49,56,44,57,36,51,49,36,10,49,44,30,16,35,50,49,40,U,U,U,U,U,U,U,U,U,U,U,S,U,U,U,U,S,U,U,U,
8,"1, 2","BY RM rDNA (backcross #10)","ST2667","YPD",30,20,0,0,16,1,0,2,42,42,46,30,33,32,29,45,48,19,40,36,49,49,43,42,46,21,45,36,U,U,U,U,U,C,S,U,U,U,U,C,U,,U,U,U,U,U,U,
9,"1, 2","BY  RM rDNA sml1KO","ST2668","YPD",30,20,0,0,16,1,1,2,42,34,48,27,45,53,45,35,39,38,8,43,47,22,28,16,27,22,34,39,U,C,L,U,S,U,U,U,U,U,U,U,U,U,C,U,U,U,U,U,
10,"1, 2","BY  RM rDNA sml1KO","ST2668","YPD",30,20,0,0,15,3,1,1,41,41,32,26,32,51,46,45,52,30,47,33,23,42,42,47,23,47,50,32,U,U,U,S,U,U,U,U,U,L,U,S,S,U,U,U,U,U,U,C,
11,"1, 2","BY RM rDNA sml1KO mec1KO","ST2669","YPD",30,20,0,0,6,7,4,3,4,3,6,25,4,12,11,35,3,21,7,28,32,4,22,5,27,6,35,21,S,S,L,U,L,C,U,S,S,U,S,C,U,S,L,L,C,U,S,U,
12,"1, 2","BY RM rDNA sml1KO mec1KO","ST2669","YPD",30,20,0,0,11,4,4,1,4,34,23,5,14,10,5,56,10,24,18,11,13,7,6,15,2,10,6,33,U,U,U,L,S,C,L,U,S,U,S,U,U,U,U,U,L,S,L,U,
13,"1, 2","BY wild rDNA (Y12) backcross #8","ST2670","YPD",30,20,0,0,17,2,0,1,30,22,43,46,45,44,49,48,53,43,33,33,46,50,45,26,37,40,10,47,U,C,U,U,U,U,U,U,U,U,U,U,U,U,U,U,S,U,U,S,
14,"1, 2","BY wild rDNA (Y12) backcross #8","ST2670","YPD",30,20,1,0,17,2,0,0,33,45,7,52,,10,50,25,37,18,43,35,28,38,34,22,27,16,43,30,U,U,U,U,,U,U,U,S,U,U,U,U,U,U,U,U,U,S,U,
15,"1, 2","BY wild rDNA (Y12) backcross #8","ST2671","YPD",30,20,0,0,16,1,2,1,49,21,70,45,28,47,30,5,44,48,42,5,45,33,38,29,30,39,26,37,U,U,U,U,U,U,U,C,U,U,U,L,L,U,U,U,S,U,U,U,
16,"1, 2","BY wild rDNA (Y12) backcross #8","ST2671","YPD",30,20,0,0,15,4,1,0,24,30,27,30,33,41,20,41,17,19,47,26,41,21,5,18,45,44,27,31,S,U,S,U,U,U,U,U,U,U,L,U,U,U,U,U,U,U,S,S,
17,"1, 2","BY wild rDNA (Y12) backcross #8","ST2672","YPD",30,20,0,0,11,4,3,2,27,43,45,22,49,51,47,32,20,42,31,42,36,43,37,30,37,46,18,47,C,U,U,S,U,L,U,L,S,C,L,U,U,U,S,S,U,U,U,U,
18,"1, 2","BY wild rDNA (Y12) backcross #8","ST2672","YPD",30,20,0,0,15,2,3,0,43,42,25,45,35,48,43,44,45,30,48,28,45,45,49,47,43,45,25,47,U,U,U,S,S,U,U,U,U,L,U,U,U,U,U,L,U,U,L,U,
19,"1, 2","BY wild rDNA (Y12) backcross #8","ST2673","YPD",30,20,0,0,17,3,0,0,32,22,54,20,54,51,50,38,41,47,47,33,45,44,18,3,37,44,47,49,U,S,U,U,U,U,U,U,U,U,U,U,S,U,U,S,U,U,U,U,
20,"1, 2","BY wild rDNA (Y12) backcross #8","ST2673","YPD",30,20,0,0,15,2,3,0,37,26,22,21,47,18,42,48,31,21,29,3,26,49,32,34,35,37,44,23,U,U,U,U,U,U,U,U,L,L,U,S,L,U,U,S,U,U,U,U,
