id,reference,label,strain,media,temperature,cell_count,end_lost,omit_count,end_single,end_small_bud,end_large_bud,end_cluster,lifespans,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,endCode,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,"1","WT","YCM256 ","YPD",30,20,0,0,13,6,1,0,30,20,23,15,10,27,22,25,39,17,30,18,27,19,27,21,25,25,16,25,U,U,S,S,S,S,S,U,U,U,U,L,U,U,U,U,U,U,S,U,
2,"1","chr1 disome","YCM257 ","YPD",30,20,1,0,13,1,2,2,32,21,26,35,19,20,31,27,31,,28,24,29,27,30,28,10,20,32,25,U,U,,C,U,L,U,U,C,,U,U,U,L,U,U,S,U,U,U,
3,"1","chr 2 disome","YCM258 ","YPD",30,20,0,0,10,4,1,5,11,31,17,25,17,12,19,23,26,27,16,29,32,7,15,13,10,18,9,16,C,U,C,U,S,S,U,C,U,U,U,C,C,S,S,U,U,U,L,U,
4,"1","chr 4 disome","YCM259 ","YPD",30,20,0,0,8,7,1,4,4,2,3,4,3,7,6,4,4,6,8,7,6,8,5,3,5,5,9,2,C,S,U,S,S,U,L,S,U,U,U,S,U,C,C,U,S,S,C,U,
5,"1","chr 5 disome","YCM260 ","YPD",30,20,0,0,11,6,0,3,24,15,1,12,9,11,8,10,5,9,13,12,16,15,20,12,6,23,18,25,S,U,U,U,U,U,U,C,C,U,U,S,U,S,U,C,S,S,U,S,
6,"1","chr 8 disome","YCM261 ","YPD",30,20,0,0,10,7,0,3,15,28,23,9,15,10,5,21,11,25,21,19,14,13,16,17,14,18,8,6,U,C,U,U,U,U,C,U,S,S,U,S,S,S,U,S,C,U,U,S,
7,"1","chr 9 disome","YCM262 ","YPD",30,20,1,0,7,4,2,6,,0,26,32,13,23,26,27,27,14,25,16,27,8,17,25,31,20,15,34,,S,U,U,C,S,C,S,S,U,C,C,C,U,C,U,L,U,L,U,
8,"1","chr 10 disome","YCM263 ","YPD",30,20,0,0,6,7,1,5,4,8,8,10,7,11,6,0,16,9,2,5,5,6,4,10,7,10,6,6,,S,S,C,S,S,S,U,C,U,C,C,C,U,S,S,U,U,U,L,
9,"1","chr 11 disome","YCM264 ","YPD",30,20,0,0,14,1,2,3,16,24,18,18,14,17,16,22,22,9,17,26,19,26,29,31,15,16,21,27,U,U,U,L,U,U,S,C,C,U,U,U,U,L,C,U,U,U,U,U,
10,"1","chr 12 disome","YCM265 ","YPD",30,20,0,0,16,1,1,2,14,15,11,14,12,9,6,23,19,11,2,7,10,11,4,8,10,10,21,33,U,U,L,U,U,U,U,U,U,U,S,U,U,U,C,U,U,U,C,U,
11,"1","chr 13 disome","YCM266 ","YPD",30,20,0,0,11,2,0,7,6,35,25,20,19,40,34,23,20,40,25,11,14,13,22,15,12,11,24,9,U,C,U,S,S,U,U,C,U,U,C,C,C,C,C,U,U,U,U,U,
12,"1","chr 14 disome","YCM267 ","YPD",30,20,0,0,2,3,0,15,11,16,10,5,5,10,11,13,12,11,4,4,9,5,11,10,10,8,5,8,C,C,C,C,U,C,S,C,C,C,C,U,C,C,S,S,C,C,C,C,
13,"1","chr 15 disome","YCM268 ","YPD",30,20,0,0,9,9,0,2,19,4,5,11,15,4,6,14,8,4,12,5,31,17,30,9,6,6,3,14,S,U,U,S,S,U,U,S,C,C,S,S,U,U,U,S,U,S,S,U,
14,"1","chr 16 disome","YCM269 ","YPD",30,20,0,0,7,3,0,10,20,19,21,13,16,23,22,9,17,17,19,11,18,26,17,21,15,22,17,26,U,C,C,U,S,C,U,U,C,C,C,C,U,C,C,U,U,S,S,C,
15,"1","WT","YCM256 ","YPD",30,20,0,0,8,5,1,6,14,25,30,32,22,6,25,26,18,29,21,18,8,25,14,24,19,21,14,14,S,U,U,C,U,S,S,C,U,U,C,C,U,U,U,C,L,S,C,S,
16,"1","chr1 disome","YCM257 ","YPD",30,20,0,0,11,5,3,1,14,22,18,24,15,22,24,9,14,16,25,30,28,34,17,26,26,30,15,21,S,S,L,U,S,U,U,U,U,C,L,U,U,U,U,U,U,S,S,L,
17,"1","chr 2 disome","YCM258 ","YPD",30,20,1,0,9,8,0,2,27,20,13,18,21,18,11,18,26,8,29,7,12,16,33,34,,7,16,20,U,U,U,S,S,S,S,S,U,S,C,S,C,U,U,U,,S,U,U,
